"","title","author","subject","abstract","meta"
"38","Preference optimization of protein language models as a multi-objective binder design paradigm","Pouria Mistani, Venkatesh Mysore","Biological Physics (physics.bio-ph)","We present a multi-objective binder design paradigm based on instruction fine-tuning and direct preference optimization (DPO) of autoregressive protein language models (pLMs). Multiple design objectives are encoded in the language model through direct optimization on expert curated preference sequence datasets comprising preferred and dispreferred distributions. We show the proposed alignment strategy enables ProtGPT2 to effectively design binders conditioned on specified receptors and a drug developability criterion. Generated binder samples demonstrate median isoelectric point (pI) improvements by $17\%-60\%$.","Thu, 7 Mar 2024 03:36:03 UTC (1,984 KB)"
"39","Hitchhiker's guide to cancer-associated lymphoid aggregates in histology images: manual and deep learning-based quantification approaches","Karina Silina, Francesco Ciompi","Tissues and Organs (q-bio.TO)","Quantification of lymphoid aggregates including tertiary lymphoid structures with germinal centers in histology images of cancer is a promising approach for developing prognostic and predictive tissue biomarkers. In this article, we provide recommendations for identifying lymphoid aggregates in tissue sections from routine pathology workflows such as hematoxylin and eosin staining. To overcome the intrinsic variability associated with manual image analysis (such as subjective decision making, attention span), we recently developed a deep learning-based algorithm called HookNet-TLS to detect lymphoid aggregates and germinal centers in various tissues. Here, we additionally provide a guideline for using manually annotated images for training and implementing HookNet-TLS for automated and objective quantification of lymphoid aggregates in various cancer types.","Wed, 6 Mar 2024 15:32:05 UTC (1,080 KB)"
"40","Understanding Biology in the Age of Artificial Intelligence","Elsa Lawrence, Adham El-Shazly, Srijit Seal, Chaitanya K Joshi, Pietro Liò, Shantanu Singh, Andreas Bender, Pietro Sormanni, Matthew Greenig","Artificial Intelligence (cs.AI)","Modern life sciences research is increasingly relying on artificial intelligence approaches to model biological systems, primarily centered around the use of machine learning (ML) models. Although ML is undeniably useful for identifying patterns in large, complex data sets, its widespread application in biological sciences represents a significant deviation from traditional methods of scientific inquiry. As such, the interplay between these models and scientific understanding in biology is a topic with important implications for the future of scientific research, yet it is a subject that has received little attention. Here, we draw from an epistemological toolkit to contextualize recent applications of ML in biological sciences under modern philosophical theories of understanding, identifying general principles that can guide the design and application of ML systems to model biological phenomena and advance scientific knowledge. We propose that conceptions of scientific understanding as information compression, qualitative intelligibility, and dependency relation modelling provide a useful framework for interpreting ML-mediated understanding of biological systems. Through a detailed analysis of two key application areas of ML in modern biological research - protein structure prediction and single cell RNA-sequencing - we explore how these features have thus far enabled ML systems to advance scientific understanding of their target phenomena, how they may guide the development of future ML models, and the key obstacles that remain in preventing ML from achieving its potential as a tool for biological discovery. Consideration of the epistemological features of ML applications in biology will improve the prospects of these methods to solve important problems and advance scientific understanding of living systems.","Wed, 6 Mar 2024 23:20:34 UTC (1,634 KB)"
"41","A Swarm Coherence Mechanism for Jellyfish","Erik Gengel, Zafrir Kuplik, Dror Angel, Eyal Heifetz","Adaptation and Self-Organizing Systems (nlin.AO)","We present a theory of jellyfish swarm formation and exemplify it with simulations of active Brownian particles. The motivation for our analysis is the phenomenon of jellyfish blooms in the ocean and clustering of jellyfish in tank experiments. We argue that such clusters emerge due to an externally induced phase transition of jellyfish density, such as convergent flows, which is then maintained and amplified by self-induced stimuli. Our study introduces three mechanisms relevant for a better understanding of jellyfish blooming that have not been taken into account before which are a signaling tracer, jellyfish-wall interaction and ignorance of external stimuli. Our results agree with the biological fact that jellyfish exhibit an extreme sensitivity to stimuli in order to achieve favorable aggregations. Based on our theoretical framework, we are able to provide a clear terminology for future experimental analysis of jellyfish swarming and we pinpoint potential limitations of tank experiments.","Wed, 6 Mar 2024 20:44:09 UTC (5,690 KB)"
"42","High throughput spectroscopy of pL droplets","Marc Sulliger, Jaime Ortega Arroyo, Romain Quidant","Quantitative Methods (q-bio.QM)","Droplet microfluidics offers a versatile platform for analyzing liquid samples. Despite its potential, there is a lack of techniques that allow to reliably probe individual circulating droplets. The prospect of combining droplet microfluidics with sensitive, broadband spectroscopic techniques would therefore unlock new capabilities for various disciplines, including biomedicine and biochemistry. Here we present an integrated optofluidic platform that seamlessly combines droplet microfluidics and advanced hyperspectral imaging. This enables high-resolution, label-free analysis of single picolitre-sized droplets, providing valuable insights into their content. As a proof-of-principle, we demonstrate the ability of our platform to study rapid dynamic changes in a heterogeneous population of plasmonic nanoparticles with millisecond-time resolution. Furthermore, we demonstrate the effectiveness of the platform in biosensing applied to short DNA strands, achieving a detection sensitivity in the range of 100 pM. Finally, we show that the platform provides the flexibility to monitor samples over extended periods of time (hours) in a multiplexed manner.","Wed, 6 Mar 2024 20:18:14 UTC (1,302 KB)"
"43","Inverse resolution of spatially varying diffusion coefficient using Physics-Informed neural networks","Sukirt Thakur, Ehsan Esmaili, Sarah Libring, Luis Solorio, Arezoo M. Ardekani","Quantitative Methods (q-bio.QM)","Resolving the diffusion coefficient is a key element in many biological and engineering systems, including pharmacological drug transport and fluid mechanics analyses. Additionally, these systems often have spatial variation in the diffusion coefficient which must be determined, such as for injectable drug-eluting implants into heterogeneous tissues. Unfortunately, obtaining the diffusion coefficient from images in such cases is an inverse problem with only discrete data points. The development of a robust method that can work with such noisy and ill-posed datasets to accurately determine spatially-varying diffusion coefficients is of great value across a large range of disciplines. Here, we developed an inverse solver that uses physics informed neural networks (PINNs) to calculate spatially-varying diffusion coefficients from numerical and experimental image data in varying biological and engineering applications. The residual of the transient diffusion equation for a concentration field is minimized to find the diffusion coefficient. The robustness of the method as an inverse solver was tested using both numerical and experimental datasets. The predictions show good agreement with both the numerical and experimental benchmarks; an error of less than 6.31% was obtained against all numerical benchmarks, while the diffusion coefficient calculated in experimental datasets matches the appropriate ranges of other reported literature values. Our work demonstrates the potential of using PINNs to resolve spatially-varying diffusion coefficients, which may aid a wide-range of applications, such as enabling better-designed drug-eluting implants for regenerative medicine or oncology fields.","Wed, 6 Mar 2024 18:15:47 UTC (1,494 KB)"
"44","Estimating the household secondary attack rate with the Incomplete Chain Binomial model","Jonas Christoffer Lindstrøm, Terese Bekkevold, Cathinka Halle Julin, Anna Hayman Robertson, Lisbeth Meyer Næss","Methodology (stat.ME)","The Secondary Attack Rate (SAR) is a measure of how infectious a communicable disease is, and is often estimated based on studies of disease transmission in households. The Chain Binomial model is a simple model for disease outbreaks, and the final size distribution derived from it can be used to estimate the SAR using simple summary statistics. The final size distribution of the Chain Binomial model assume that the outbreaks have concluded, which in some instances may require long follow-up time. We develop a way to compute the probability distribution of the number of infected before the outbreak has concluded, which we call the Incomplete Chain Binomial distribution. We study a few theoretical properties of the model. We develop Maximum Likelihood estimation routines for inference on the SAR and explore the model by analyzing two real world data sets.","Wed, 6 Mar 2024 18:54:27 UTC (1,071 KB)"
"45","Consciousness qua Mortal Computation","Johannes Kleiner","Neurons and Cognition (q-bio.NC)","Computational functionalism posits that consciousness is a computation. Here we show, perhaps surprisingly, that it cannot be a Turing computation. Rather, computational functionalism implies that consciousness is a novel type of computation that has recently been proposed by Geoffrey Hinton, called mortal computation.","Wed, 6 Mar 2024 18:37:06 UTC (11 KB)"
"46","CIBRA identifies genomic alterations with a system-wide impact on tumor biology","Soufyan Lakbir (1,2,3), Caterina Buranelli (1,2), Gerrit A. Meijer (2), Jaap Heringa (1), Remond J. A. Fijneman (2), Sanne Abeln (1,3) ((1) Bioinformatics group Vrije Universiteit Amsterdam, (2) Translational Gastrointestinal Oncology group Netherlands Cancer Institute, (3) AI Technology for Life group Utrecht University)","Genomics (q-bio.GN)","Background: Genomic instability is a hallmark of cancer, leading to many somatic alterations. Identifying which alterations have a system-wide impact is a challenging task. Nevertheless, this is an essential first step for prioritizing potential biomarkers. We developed CIBRA (Computational Identification of Biologically Relevant Alterations), a method that determines the system-wide impact of genomic alterations on tumor biology by integrating two distinct omics data types: one indicating genomic alterations (e.g., genomics), and another defining a system-wide expression response (e.g., transcriptomics). CIBRA was evaluated with genome-wide screens in 33 cancer types using primary and metastatic cancer data from the Cancer Genome Atlas and Hartwig Medical Foundation. Results: We demonstrate the capability of CIBRA by successfully confirming the impact of point mutations in experimentally validated oncogenes and tumor suppressor genes. Surprisingly, many genes affected by structural variants were identified to have a strong system-wide impact (30.3%), suggesting that their role in cancer development has thus far been largely underreported. Additionally, CIBRA can identify impact with only ten cases and controls, providing a novel way to prioritize genomic alterations with a prominent role in cancer biology. Conclusions: Our findings demonstrate that CIBRA can identify cancer drivers by combining genomics and transcriptomics data. Moreover, our work shows an unexpected substantial system-wide impact of structural variants in cancer. Hence, CIBRA has the potential to preselect and refine current definitions of genomic alterations to derive more nuanced biomarkers for diagnostics, disease progression, and treatment response. CIBRA is available at this https URL","Wed, 6 Mar 2024 16:19:11 UTC (9,729 KB)"
"47","DeepCRE: Revolutionizing Drug R&D with Cutting-Edge Computational Models","Yushuai Wu","Artificial Intelligence (cs.AI)","The fields of pharmaceutical development and therapeutic application both face substantial challenges. The therapeutic domain calls for more treatment alternatives, while numerous promising pre-clinical drugs have failed in clinical trials. One of the reasons is the inadequacy of Cross-drug Response Evaluation (CRE) during the late stage of drug development. Although in-silico CRE models offer a solution to this problem, existing methodologies are either limited to early development stages or lack the capacity for a comprehensive CRE analysis. Herein, we introduce a novel computational model named DeepCRE and present the potential of DeepCRE in advancing therapeutic discovery and development. DeepCRE outperforms the existing best models by achieving an average performance improvement of 17.7\% in patient-level CRE and a 5-fold increase in indication-level CRE. Furthermore, DeepCRE has identified six drug candidates that show significantly greater effectiveness than a comparator set of two approved drugs in 5/8 colorectal cancer (CRC) organoids. This highlights DeepCRE's ability to identify a collection of drug candidates with superior therapeutic effects, underscoring its potential to revolutionize the field of therapeutic development.","Wed, 6 Mar 2024 15:03:09 UTC (19,588 KB)[v2] Sat, 9 Mar 2024 15:01:52 UTC (19,589 KB)"
"48","Diffusion on language model embeddings for protein sequence generation","Viacheslav Meshchaninov, Pavel Strashnov, Andrey Shevtsov, Fedor Nikolaev, Nikita Ivanisenko, Olga Kardymon, Dmitry Vetrov","Machine Learning (cs.LG)","Protein design requires a deep understanding of the inherent complexities of the protein universe. While many efforts lean towards conditional generation or focus on specific families of proteins, the foundational task of unconditional generation remains underexplored and undervalued. Here, we explore this pivotal domain, introducing DiMA, a model that leverages continuous diffusion on embeddings derived from the protein language model, ESM-2, to generate amino acid sequences. DiMA surpasses leading solutions, including autoregressive transformer-based and discrete diffusion models, and we quantitatively illustrate the impact of the design choices that lead to its superior performance. We extensively evaluate the quality, diversity, distribution similarity, and biological relevance of the generated sequences using multiple metrics across various modalities. Our approach consistently produces novel, diverse protein sequences that accurately reflect the inherent structural and functional diversity of the protein space. This work advances the field of protein design and sets the stage for conditional models by providing a robust framework for scalable and high-quality protein sequence generation.","Wed, 6 Mar 2024 14:15:20 UTC (11,332 KB)"
"49","The use of next-generation sequencing in personalized medicine","Liya Popova, Valerie J. Carabetta","Genomics (q-bio.GN)","The revolutionary progress in development of next-generation sequencing (NGS) technologies has made it possible to deliver accurate genomic information in a timely manner. Over the past several years, NGS has transformed biomedical and clinical research and found its application in the field of personalized medicine. Here we discuss the rise of personalized medicine and the history of NGS. We discuss current applications and uses of NGS in medicine, including infectious diseases, oncology, genomic medicine, and dermatology. We provide a brief discussion of selected studies where NGS was used to respond to wide variety of questions in biomedical research and clinical medicine. Finally, we discuss the challenges of implementing NGS into routine clinical use.","Wed, 6 Mar 2024 13:14:25 UTC (727 KB)"
"50","FingerNet: EEG Decoding of A Fine Motor Imagery with Finger-tapping Task Based on A Deep Neural Network","Young-Min Go, Seong-Hyun Yu, Hyeong-Yeong Park, Minji Lee, Ji-Hoon Jeong","Signal Processing (eess.SP)","Brain-computer interface (BCI) technology facilitates communication between the human brain and computers, primarily utilizing electroencephalography (EEG) signals to discern human intentions. Although EEG-based BCI systems have been developed for paralysis individuals, ongoing studies explore systems for speech imagery and motor imagery (MI). This study introduces FingerNet, a specialized network for fine MI classification, departing from conventional gross MI studies. The proposed FingerNet could extract spatial and temporal features from EEG signals, improving classification accuracy within the same hand. The experimental results demonstrated that performance showed significantly higher accuracy in classifying five finger-tapping tasks, encompassing thumb, index, middle, ring, and little finger movements. FingerNet demonstrated dominant performance compared to the conventional baseline models, EEGNet and DeepConvNet. The average accuracy for FingerNet was 0.3049, whereas EEGNet and DeepConvNet exhibited lower accuracies of 0.2196 and 0.2533, respectively. Statistical validation also demonstrates the predominance of FingerNet over baseline networks. For biased predictions, particularly for thumb and index classes, we led to the implementation of weighted cross-entropy and also adapted the weighted cross-entropy, a method conventionally employed to mitigate class imbalance. The proposed FingerNet involves optimizing network structure, improving performance, and exploring applications beyond fine MI. Moreover, the weighted Cross Entropy approach employed to address such biased predictions appears to have broader applicability and relevance across various domains involving multi-class classification tasks. We believe that effective execution of motor imagery can be achieved not only for fine MI, but also for local muscle MI","Wed, 6 Mar 2024 08:05:53 UTC (3,961 KB)"
"51","Detecting transitions between collective motion regimes using functional hypothesis test of the time-varying persistence homology","Thevasha Sathiyakumar, Shantanu Sur, Sumona Mondal, Marko Budišić","Applications (stat.AP)","In a system of many similar self-propelled entities such as flocks of birds, fish school, cells and molecules, the interactions with neighbors can lead to a ""coherent state"", meaning the formation of visually compelling aggregation patterns due to the local adjustment of speed and direction. In this study, we explore one of the open questions that arise in studying collective patterns. When such entities, considered here as particles, tend to assume a coherent state beginning from an incoherent (random) state, what is the time interval for the transition? Also, how do model parameters affect this transition time interval? Given the observations of particle migration over a given time period as a point cloud data sampled at discrete time points, we use Topological Data Analysis, specifically persistent homology, to infer the transition time interval in which the particles undergo regime change. The topology of the particle configuration at any given time instance is captured by the persistent homology specifically Persistence Landscapes. We localize (in time) when such a transition happens by conducting the statistical significance tests namely functional hypothesis tests on persistent homology outputs corresponding to subsets of the time evolution. This process is validated on a known collective behavior model of the self-propelled particles with the regime transitions triggered by changing the model parameters in time. As an application, the developed technique was ultimately used to describe the transition in cellular movement from a disordered state to collective motion when the environment was altered.","Wed, 6 Mar 2024 03:19:48 UTC (5,061 KB)"
"52","Sculpting Molecules in 3D: A Flexible Substructure Aware Framework for Text-Oriented Molecular Optimization","Kaiwei Zhang, Yange Lin, Guangcheng Wu, Yuxiang Ren, Xuecang Zhang, Bo wang, Xiaoyu Zhang, Weitao Du","Machine Learning (cs.LG)","The integration of deep learning, particularly AI-Generated Content, with high-quality data derived from ab initio calculations has emerged as a promising avenue for transforming the landscape of scientific research. However, the challenge of designing molecular drugs or materials that incorporate multi-modality prior knowledge remains a critical and complex undertaking. Specifically, achieving a practical molecular design necessitates not only meeting the diversity requirements but also addressing structural and textural constraints with various symmetries outlined by domain experts. In this article, we present an innovative approach to tackle this inverse design problem by formulating it as a multi-modality guidance generation/optimization task. Our proposed solution involves a textural-structure alignment symmetric diffusion framework for the implementation of molecular generation/optimization tasks, namely 3DToMolo. 3DToMolo aims to harmonize diverse modalities, aligning them seamlessly to produce molecular structures adhere to specified symmetric structural and textural constraints by experts in the field. Experimental trials across three guidance generation settings have shown a superior hit generation performance compared to state-of-the-art methodologies. Moreover, 3DToMolo demonstrates the capability to generate novel molecules, incorporating specified target substructures, without the need for prior knowledge. This work not only holds general significance for the advancement of deep learning methodologies but also paves the way for a transformative shift in molecular design strategies. 3DToMolo creates opportunities for a more nuanced and effective exploration of the vast chemical space, opening new frontiers in the development of molecular entities with tailored properties and functionalities.","Wed, 6 Mar 2024 03:15:25 UTC (5,177 KB)"
"53","Leveraging The Finite States of Emotion Processing to Study Late-Life Mental Health","Yuanzhe Huang, Saurab Faruque, Minjie Wu, Akiko Mizuno, Eduardo Diniz, Shaolin Yang, George Dewitt Stetten, Noah Schweitzer, Hecheng Jin, Linghai Wang, Howard J. Aizenstein","Machine Learning (cs.LG)","Traditional approaches in mental health research apply General Linear Models (GLM) to describe the longitudinal dynamics of observed psycho-behavioral measurements (questionnaire summary scores). Similarly, GLMs are also applied to characterize relationships between neurobiological measurements (regional fMRI signals) and perceptual stimuli or other regional signals. While these methods are useful for exploring linear correlations among the isolated signals of those constructs (i.e., summary scores or fMRI signals), these classical frameworks fall short in providing insights into the comprehensive system-level dynamics underlying observable changes. Hidden Markov Models (HMM) are a statistical model that enable us to describe the sequential relations among multiple observable constructs, and when applied through the lens of Finite State Automata (FSA), can provide a more integrated and intuitive framework for modeling and understanding the underlying controller (the prescription for how to respond to inputs) that fundamentally defines any system, as opposed to linearly correlating output signals produced by the controller. We present a simple and intuitive HMM processing pipeline vcHMM (See Preliminary Data) that highlights FSA theory and is applicable for both behavioral analysis of questionnaire data and fMRI data. HMMs offer theoretic promise as they are computationally equivalent to the FSA, the control processor of a Turing Machine (TM) The dynamic programming Viterbi algorithm is used to leverage the HMM model. It efficiently identifies the most likely sequence of hidden states. The vcHMM pipeline leverages this grammar to understand how behavior and neural activity relate to depression.","Wed, 6 Mar 2024 02:46:17 UTC (1,066 KB)"
"54","How habitable are M-dwarf Exoplanets? Modeling surface conditions and exploring the role of melanins in the survival of Aspergillus niger spores under exoplanet-like radiation","Afonso Mota, Stella Koch, Daniel Matthiae, Nuno Santos, Marta Cortesão","Earth and Planetary Astrophysics (astro-ph.EP)","Exoplanet habitability remains a challenging field due to the large distances separating Earth from other stars. Using insights from biology and astrophysics, we studied the habitability of M-dwarf exoplanets by modeling their surface temperature and flare UV and X-ray doses using the Martian atmosphere as a shielding model. Analyzing the Proxima Centauri and TRAPPIST-1 systems, our models suggest that Proxima b and TRAPPIST-1 e are likeliest to have temperatures compatible with surface liquid water, as well as tolerable radiation environments. Results of the modeling were used as a basis for microbiology experiments to assess spore survival of the melanin-rich fungus Aspergillus niger to exoplanet-like radiation (UV-C and X-rays). Results showed that A. niger spores can endure superflare events on M-dwarf planets when shielded by a Mars-like atmosphere or by a thin layer of soil or water. Melanin-deficient spores suspended in a melanin-rich solution showed higher survival rates and germination efficiency when compared to melanin-free solutions. Overall, the models developed in this work establish a framework for microbiological research in habitability studies. Finally, we showed that A. niger spores can survive harsh radiation conditions of simulated exoplanets, also emphasizing the importance of multifunctional molecules like melanins in radiation shielding beyond Earth.","Wed, 6 Mar 2024 01:58:12 UTC (13,918 KB)"
"55","From virtual patients to digital twins in immuno-oncology: lessons learned from mechanistic quantitative systems pharmacology modeling","Hanwen Wang (1), Theinmozhi Arulraj (1), Alberto Ippolito (1), Aleksander S. Popel (1 and 2) ((1) Department of Biomedical Engineering, Johns Hopkins University School of Medicine, Baltimore, MD, USA, (2) Departments of Medicine and Oncology, and the Sidney Kimmel Comprehensive Cancer Center, Johns Hopkins University School of Medicine, Baltimore, MD, USA)","Other Quantitative Biology (q-bio.OT)","Virtual patients and digital patients/twins are two similar concepts gaining increasing attention in health care with goals to accelerate drug development and improve patients' survival, but with their own limitations. Although methods have been proposed to generate virtual patient populations using mechanistic models, there are limited number of applications in immuno-oncology research. Furthermore, due to the stricter requirements of digital twins, they are often generated in a study-specific manner with models customized to particular clinical settings (e.g., treatment, cancer, and data types). Here, we discuss the challenges for virtual patient generation in immuno-oncology with our most recent experiences, initiatives to develop digital twins, and how research on these two concepts can inform each other.","Tue, 5 Mar 2024 21:38:05 UTC (548 KB)"
"56","A Novel Method for Clustering Cellular Data to Improve Classification","Diek W. Wheeler, Giorgio A. Ascoli","Quantitative Methods (q-bio.QM)","Many fields, such as neuroscience, are experiencing the vast proliferation of cellular data, underscoring the need for organizing and interpreting large datasets. A popular approach partitions data into manageable subsets via hierarchical clustering, but objective methods to determine the appropriate classification granularity are missing. We recently introduced a technique to systematically identify when to stop subdividing clusters based on the fundamental principle that cells must differ more between than within clusters. Here we present the corresponding protocol to classify cellular datasets by combining data-driven unsupervised hierarchical clustering with statistical testing. These general-purpose functions are applicable to any cellular dataset that can be organized as two-dimensional matrices of numerical values, including molecular, physiological, and anatomical datasets. We demonstrate the protocol using cellular data from the Janelia MouseLight project to characterize morphological aspects of neurons.","Tue, 5 Mar 2024 20:51:59 UTC (1,072 KB)"
"57","Effects of Marine Reserve Creation in Single Species and Prey-Predator Models","Aleksander Ćwiszewski, Sławomir Plaskacz","Populations and Evolution (q-bio.PE)","Single species fisheries and prey-predator models with marine protected areas (MPA) are studied. The single species case is considered when the fishing effort is around the species extinction threshold and the influence of implementing MPA on catch quantity are studied. In the prey-predator fishery model, the situation with the fishing effort close to the predator extinction value is considered and the effects of implementing MPA are discussed with the focus on MPA sizes assuring an acceptable catch level (i.e. food security) and the sustainability of both the predator and prey populations.","Tue, 5 Mar 2024 20:32:35 UTC (801 KB)"
"58","Bright coherent attosecond X-ray pulses from beam-driven relativistic mirrors","Marcel Lamač, Petr Valenta, Jaroslav Nejdl, Uddhab Chaulagain, Tae Moon Jeong, Sergei Vladimirovich Bulanov","Plasma Physics (physics.plasm-ph)","Bright ultrashort X-ray pulses allow scientists to observe ultrafast motion of atoms and molecules. Coherent light sources, such as the X-ray free electron laser (XFEL), enable remarkable discoveries in cell biology, protein crystallography, chemistry or materials science. However, in contrast to optical lasers, lack of X-ray mirrors demands XFELs to amplify radiation over a single pass, requiring tens or hundreds of meters long undulators to produce bright femtosecond X-ray pulses. Here, we propose a new ultrafast coherent light source based on laser reflection from a relativistic mirror driven by a relativistic charged particle beam in micrometer-scale plasma. We show that reflection of millijoule-level laser pulses from such mirrors can produce bright, coherent and bandwidth-tunable attosecond X-ray pulses with peak intensity and spectral brightness comparable to XFELs. In addition, we find that beam-driven relativistic mirrors are highly robust, with laser-induced damage threshold exceeding solid-state components by at least two orders of magnitude. Our results promise a new way for bright coherent attosecond X-ray pulse generation, suitable for unique applications in fundamental physics, biology and chemistry.","Tue, 5 Mar 2024 19:18:00 UTC (8,626 KB)"
"59","From Noise to Signal: Unveiling Treatment Effects from Digital Health Data through Pharmacology-Informed Neural-SDE","Samira Pakravan, Nikolaos Evangelou, Maxime Usdin, Logan Brooks, James Lu","Quantitative Methods (q-bio.QM)","Digital health technologies (DHT), such as wearable devices, provide personalized, continuous, and real-time monitoring of patient. These technologies are contributing to the development of novel therapies and personalized medicine. Gaining insight from these technologies requires appropriate modeling techniques to capture clinically-relevant changes in disease state. The data generated from these devices is characterized by being stochastic in nature, may have missing elements, and exhibits considerable inter-individual variability - thereby making it difficult to analyze using traditional longitudinal modeling techniques. We present a novel pharmacology-informed neural stochastic differential equation (SDE) model capable of addressing these challenges. Using synthetic data, we demonstrate that our approach is effective in identifying treatment effects and learning causal relationships from stochastic data, thereby enabling counterfactual simulation.","Tue, 5 Mar 2024 19:13:57 UTC (1,211 KB)"
"60","Caduceus: Bi-Directional Equivariant Long-Range DNA Sequence Modeling","Yair Schiff, Chia-Hsiang Kao, Aaron Gokaslan, Tri Dao, Albert Gu, Volodymyr Kuleshov","Genomics (q-bio.GN)","Large-scale sequence modeling has sparked rapid advances that now extend into biology and genomics. However, modeling genomic sequences introduces challenges such as the need to model long-range token interactions, the effects of upstream and downstream regions of the genome, and the reverse complementarity (RC) of DNA. Here, we propose an architecture motivated by these challenges that builds off the long-range Mamba block, and extends it to a BiMamba component that supports bi-directionality, and to a MambaDNA block that additionally supports RC equivariance. We use MambaDNA as the basis of Caduceus, the first family of RC equivariant bi-directional long-range DNA language models, and we introduce pre-training and fine-tuning strategies that yield Caduceus DNA foundation models. Caduceus outperforms previous long-range models on downstream benchmarks; on a challenging long-range variant effect prediction task, Caduceus exceeds the performance of 10x larger models that do not leverage bi-directionality or equivariance.","Tue, 5 Mar 2024 01:42:51 UTC (1,838 KB)"
"61","Machine and deep learning methods for predicting 3D genome organization","Brydon P. G. Wall, My Nguyen, J. Chuck Harrell, Mikhail G. Dozmorov","Genomics (q-bio.GN)","Three-Dimensional (3D) chromatin interactions, such as enhancer-promoter interactions (EPIs), loops, Topologically Associating Domains (TADs), and A/B compartments play critical roles in a wide range of cellular processes by regulating gene expression. Recent development of chromatin conformation capture technologies has enabled genome-wide profiling of various 3D structures, even with single cells. However, current catalogs of 3D structures remain incomplete and unreliable due to differences in technology, tools, and low data resolution. Machine learning methods have emerged as an alternative to obtain missing 3D interactions and/or improve resolution. Such methods frequently use genome annotation data (ChIP-seq, DNAse-seq, etc.), DNA sequencing information (k-mers, Transcription Factor Binding Site (TFBS) motifs), and other genomic properties to learn the associations between genomic features and chromatin interactions. In this review, we discuss computational tools for predicting three types of 3D interactions (EPIs, chromatin interactions, TAD boundaries) and analyze their pros and cons. We also point out obstacles of computational prediction of 3D interactions and suggest future research directions.","Mon, 4 Mar 2024 19:04:41 UTC (928 KB)"
"62","Large language models surpass human experts in predicting neuroscience results","Xiaoliang Luo, Akilles Rechardt, Guangzhi Sun, Kevin K. Nejad, Felipe Yáñez, Bati Yilmaz, Kangjoo Lee, Alexandra O. Cohen, Valentina Borghesani, Anton Pashkov, Daniele Marinazzo, Jonathan Nicholas, Alessandro Salatiello, Ilia Sucholutsky, Pasquale Minervini, Sepehr Razavi, Roberta Rocca, Elkhan Yusifov, Tereza Okalova, Nianlong Gu, Martin Ferianc, Mikail Khona, Kaustubh R. Patil, Pui-Shee Lee, Rui Mata, Nicholas E. Myers, Jennifer K Bizley, Sebastian Musslick, Isil Poyraz Bilgin, Guiomar Niso, Justin M. Ales, Michael Gaebler, N Apurva Ratan Murty, Chloe M. Hall, Jessica Dafflon, Sherry Dongqi Bao, Bradley C. Love","Neurons and Cognition (q-bio.NC)","Scientific discoveries often hinge on synthesizing decades of research, a task that potentially outstrips human information processing capacities. Large language models (LLMs) offer a solution. LLMs trained on the vast scientific literature could potentially integrate noisy yet interrelated findings to forecast novel results better than human experts. To evaluate this possibility, we created BrainBench, a forward-looking benchmark for predicting neuroscience results. We find that LLMs surpass experts in predicting experimental outcomes. BrainGPT, an LLM we tuned on the neuroscience literature, performed better yet. Like human experts, when LLMs were confident in their predictions, they were more likely to be correct, which presages a future where humans and LLMs team together to make discoveries. Our approach is not neuroscience-specific and is transferable to other knowledge-intensive endeavors.","Mon, 4 Mar 2024 15:27:59 UTC (3,592 KB)"
"63","Embracing Uncertainty Flexibility: Harnessing a Supervised Tree Kernel to Empower Ensemble Modelling for 2D Echocardiography-Based Prediction of Right Ventricular Volume","Tuan A. Bohoran, Polydoros N. Kampaktsis, Laura McLaughlin, Jay Leb, Gerry P. McCann, Archontis Giannakidis","Tissues and Organs (q-bio.TO)","The right ventricular (RV) function deterioration strongly predicts clinical outcomes in numerous circumstances. To boost the clinical deployment of ensemble regression methods that quantify RV volumes using tabular data from the widely available two-dimensional echocardiography (2DE), we propose to complement the volume predictions with uncertainty scores. To this end, we employ an instance-based method which uses the learned tree structure to identify the nearest training samples to a target instance and then uses a number of distribution types to more flexibly model the output. The probabilistic and point-prediction performances of the proposed framework are evaluated on a relatively small-scale dataset, comprising 100 end-diastolic and end-systolic RV volumes. The reference values for point performance were obtained from MRI. The results demonstrate that our flexible approach yields improved probabilistic and point performances over other state-of-the-art methods. The appropriateness of the proposed framework is showcased by providing exemplar cases. The estimated uncertainty embodies both aleatoric and epistemic types. This work aligns with trustworthy artificial intelligence since it can be used to enhance the decision-making process and reduce risks. The feature importance scores of our framework can be exploited to reduce the number of required 2DE views which could enhance the proposed pipeline's clinical application.","Mon, 4 Mar 2024 12:36:31 UTC (1,481 KB)"
